timestamp	position_rotation	position_translation
2026-03-03 06:10:49.082+00	{0,0,0.84218025,-0.53919613}	{-91.051414,94.16736,1.89}
2026-03-03 06:10:49.53+00	{0,0,0.8262258,-0.5633392}	{-91.389496,94.228615,1.89}
2026-03-03 06:10:49.737+00	{0,0,0.8146119,-0.5800065}	{-91.76689,94.23595,1.89}
2026-03-03 06:10:49.801+00	{0,0,0.810118,-0.5862669}	{-92.25169,94.27885,1.89}
2026-03-03 06:10:50.104+00	{0,0,0.8000313,-0.59995836}	{-92.651566,94.29524,1.89}
2026-03-03 06:10:50.281+00	{0,0,0.7955279,-0.60591704}	{-92.93388,94.448265,1.89}
2026-03-03 06:10:50.481+00	{0,0,0.79588586,-0.60544676}	{-93.26885,94.5317,1.89}
2026-03-03 06:10:50.739+00	{0,0,0.79984933,-0.6002009}	{-93.710686,94.698654,1.89}
2026-03-03 06:10:51.002+00	{0,0,0.8105618,-0.5856532}	{-94.10449,94.85725,1.89}
2026-03-03 06:10:51.137+00	{0,0,0.8220003,-0.56948704}	{-94.51209,95.111084,1.89}
2026-03-03 06:10:51.419+00	{0,0,0.8378412,-0.5459141}	{-94.90612,95.37798,1.89}
2026-03-03 06:10:51.714+00	{0,0,0.8505855,-0.5258368}	{-95.21177,95.59087,1.89}
2026-03-03 06:10:51.805+00	{0,0,0.8641207,-0.5032846}	{-95.50574,95.832535,1.89}
2026-03-03 06:10:52.196+00	{0,0,0.89566815,-0.4447231}	{-95.730774,96.136475,1.89}
2026-03-03 06:10:52.554+00	{0,0,0.92202145,-0.38713884}	{-96.08242,96.83766,1.89}
2026-03-03 06:10:52.886+00	{0,0,0.9469391,-0.32141307}	{-96.22381,97.33257,1.89}
2026-03-03 06:10:53.676+00	{0,0,0.9824032,-0.18677226}	{-96.37659,97.60108,1.89}
2026-03-03 06:10:56.005+00	{0,0,0.9914575,-0.13043025}	{-96.262054,97.30177,1.89}
2026-03-03 06:10:56.339+00	{0,0,0.99223775,-0.124355525}	{-96.128265,97.01921,1.89}
2026-03-03 06:10:56.806+00	{0,0,0.99305105,-0.11768451}	{-95.99973,96.70298,1.89}
2026-03-03 06:11:01.809+00	{0,0,0.99352354,-0.113626756}	{-95.94213,96.49139,1.89}
2026-03-03 06:11:06.826+00	{0,0,0.99351,-0.11374464}	{-95.947754,96.50277,1.89}
2026-03-03 06:11:09.998+00	{0,0,0.99308974,-0.11735746}	{-96.04902,96.840645,1.89}
2026-03-03 06:11:10.424+00	{0,0,0.99294496,-0.11857626}	{-96.12853,97.13911,1.89}
2026-03-03 06:11:10.744+00	{0,0,0.99307406,-0.11749016}	{-96.19542,97.44148,1.89}
2026-03-03 06:11:11.014+00	{0,0,0.9932969,-0.1155906}	{-96.26359,97.75594,1.89}
2026-03-03 06:11:11.352+00	{0,0,0.99371654,-0.11192588}	{-96.35301,98.16946,1.89}
2026-03-03 06:11:11.628+00	{0,0,0.99411416,-0.108337745}	{-96.426575,98.52291,1.89}
2026-03-03 06:11:11.86+00	{0,0,0.99448264,-0.10490116}	{-96.48664,98.82337,1.89}
2026-03-03 06:11:12.123+00	{0,0,0.9949379,-0.10049164}	{-96.55535,99.19963,1.89}
2026-03-03 06:11:12.409+00	{0,0,0.99524254,-0.097428314}	{-96.59647,99.533165,1.89}
2026-03-03 06:11:12.738+00	{0,0,0.9959562,-0.089840226}	{-96.63606,99.872215,1.89}
2026-03-03 06:11:14.377+00	{0,0,0.9887823,-0.14936419}	{-97.1927,99.57062,1.89}
2026-03-03 06:11:14.578+00	{0,0,0.9847037,-0.1742371}	{-96.882034,99.55062,1.89}
2026-03-03 06:11:14.846+00	{0,0,0.9776623,-0.21018185}	{-97.01771,99.27354,1.89}
2026-03-03 06:11:15.215+00	{0,0,0.9686046,-0.24860637}	{-97.26261,98.99369,1.89}
2026-03-03 06:11:15.357+00	{0,0,0.95396996,-0.29990214}	{-97.65022,98.64462,1.89}
2026-03-03 06:11:15.592+00	{0,0,0.910643,-0.41319415}	{-97.98367,98.20608,1.89}
2026-03-03 06:11:15.817+00	{0,0,0.86920846,-0.49444583}	{-98.1523,97.7875,1.89}
2026-03-03 06:11:16.057+00	{0,0,0.79473895,-0.6069514}	{-98.08343,97.24336,1.89}
2026-03-03 06:11:16.266+00	{0,0,0.7375518,-0.67529064}	{-98.00222,96.867096,1.89}
2026-03-03 06:11:16.463+00	{0,0,0.6809259,-0.73235226}	{-97.8588,96.49613,1.89}
2026-03-03 06:11:16.706+00	{0,0,0.63217163,-0.7748283}	{-97.62126,96.22064,1.89}
2026-03-03 06:11:16.95+00	{0,0,0.5892715,-0.80793506}	{-97.29229,96.18705,1.89}
2026-03-03 06:11:17.169+00	{0,0,0.549369,-0.8355799}	{-96.92068,96.02771,1.89}
2026-03-03 06:11:17.389+00	{0,0,0.516352,-0.8563764}	{-96.448,95.9388,1.89}
2026-03-03 06:11:17.584+00	{0,0,0.498581,-0.8668431}	{-96.19297,96.12371,1.89}
2026-03-03 06:11:17.634+00	{0,0,0.48985806,-0.8718022}	{-95.928314,96.27933,1.89}
2026-03-03 06:11:17.68+00	{0,0,0.4873994,-0.87317914}	{-95.75425,95.90752,1.89}
2026-03-03 06:11:17.852+00	{0,0,0.47066823,-0.8823103}	{-95.70783,96.2496,1.89}
2026-03-03 06:11:18.038+00	{0,0,0.4662914,-0.88463116}	{-95.37047,96.352974,1.89}
2026-03-03 06:11:18.197+00	{0,0,0.46438146,-0.88563526}	{-95.16827,96.58767,1.89}
2026-03-03 06:11:18.407+00	{0,0,0.469222,-0.88308024}	{-94.87787,96.81958,1.89}
2026-03-03 06:11:18.59+00	{0,0,0.47940257,-0.8775951}	{-94.60324,97.04088,1.89}
2026-03-03 06:11:18.843+00	{0,0,0.49136883,-0.8709516}	{-94.34132,97.29544,1.89}
2026-03-03 06:11:18.975+00	{0,0,0.50688833,-0.8620117}	{-94.0579,97.525505,1.89}
2026-03-03 06:11:19.328+00	{0,0,0.5346386,-0.8450808}	{-93.865906,97.848694,1.89}
2026-03-03 06:11:19.563+00	{0,0,0.551923,-0.833895}	{-93.53277,97.96748,1.89}
2026-03-03 06:11:20.037+00	{0,0,0.59611726,-0.80289733}	{-93.27099,98.15423,1.89}
2026-03-03 06:11:20.229+00	{0,0,0.6088222,-0.79330665}	{-92.916985,98.33365,1.89}
2026-03-03 06:11:20.937+00	{0,0,0.6753984,-0.737453}	{-92.60933,98.539375,1.89}
2026-03-03 06:11:21.555+00	{0,0,0.7243852,-0.6893955}	{-92.28539,98.58919,1.89}
2026-03-03 06:11:22.02+00	{0,0,0.75574887,-0.65486157}	{-91.96136,98.6489,1.89}
2026-03-03 06:11:22.813+00	{0,0,0.83450204,-0.5510049}	{-91.65169,98.66996,1.89}
2026-03-03 06:11:23.595+00	{0,0,0.888862,-0.45817506}	{-91.26677,98.465355,1.89}
2026-03-03 06:11:24.165+00	{0,0,0.91112417,-0.41213197}	{-90.97234,98.350105,1.89}
2026-03-03 06:11:24.693+00	{0,0,0.92307335,-0.38462403}	{-90.56992,98.118225,1.89}
2026-03-03 06:11:25.047+00	{0,0,0.92649174,-0.37631506}	{-90.324425,97.94515,1.89}
2026-03-03 06:11:25.432+00	{0,0,0.93028605,-0.36683494}	{-90.080605,97.738976,1.89}
2026-03-03 06:11:25.664+00	{0,0,0.93186265,-0.36281124}	{-89.83394,97.53544,1.89}
2026-03-03 06:11:27.401+00	{0,0,0.93372595,-0.35798863}	{-89.5917,97.34087,1.89}
2026-03-03 06:11:32.425+00	{0,0,0.9334573,-0.35868847}	{-89.57222,97.34018,1.89}
2026-03-03 06:11:37.5+00	{0,0,0.93362725,-0.358246}	{-89.49182,97.26383,1.89}
2026-03-03 06:11:42.465+00	{0,0,0.9327059,-0.36063793}	{-89.58459,97.34241,1.89}
2026-03-03 06:11:43.026+00	{0,0,0.9289512,-0.37020215}	{-89.818275,97.53397,1.89}
2026-03-03 06:11:43.606+00	{0,0,0.91989416,-0.3921668}	{-90.07354,97.72019,1.89}
2026-03-03 06:11:44.313+00	{0,0,0.91477895,-0.40395483}	{-90.36494,97.946884,1.89}
2026-03-03 06:11:46.341+00	{0,0,0.8837933,-0.46787763}	{-90.29358,97.642395,1.89}
2026-03-03 06:11:47.003+00	{0,0,0.85044426,-0.52606523}	{-90.18906,97.33326,1.89}
2026-03-03 06:11:51.989+00	{0,0,0.83510387,-0.55009234}	{-90.12401,97.18503,1.89}
2026-03-03 06:11:57.046+00	{0,0,0.8350996,-0.5500989}	{-90.13838,97.21513,1.89}
2026-03-03 06:12:02.08+00	{0,0,0.8025749,-0.5965515}	{-90.00319,96.95219,1.89}
2026-03-03 06:12:02.892+00	{0,0,0.7842311,-0.62046885}	{-89.79995,96.729774,1.89}
2026-03-03 06:12:04.289+00	{0,0,0.74445295,-0.66767496}	{-89.637245,96.45927,1.89}
2026-03-03 06:12:05.415+00	{0,0,0.68984485,-0.72395724}	{-89.47872,96.20399,1.89}
2026-03-03 06:12:07.014+00	{0,0,0.40878555,-0.91263044}	{-74.0832,70.6476,1.89}
2026-03-03 06:12:07.483+00	{0,0,0.4088046,-0.9126219}	{-73.82597,70.88238,1.89}
2026-03-03 06:12:07.938+00	{0,0,0.41461915,-0.909995}	{-73.60211,71.08583,1.89}
2026-03-03 06:12:11.699+00	{0,0,0.39532822,-0.9185399}	{-73.75383,70.82041,1.89}
2026-03-03 06:12:12.429+00	{0,0,0.38654095,-0.92227226}	{-73.94567,70.58753,1.89}
2026-03-03 06:12:15.615+00	{0,0,0.31091115,-0.950439}	{-73.56962,70.62502,1.89}
2026-03-03 06:12:16.142+00	{0,0,0.25538972,-0.9668382}	{-73.26454,70.713936,1.89}
2026-03-03 06:12:16.753+00	{0,0,0.21652678,-0.9762767}	{-72.998505,70.9123,1.89}
2026-03-03 06:12:17.419+00	{0,0,0.20548782,-0.9786597}	{-72.847046,71.22408,1.89}
2026-03-03 06:12:18.132+00	{0,0,0.23266391,-0.9725572}	{-72.79365,71.58068,1.89}
2026-03-03 06:12:18.874+00	{0,0,0.2888895,-0.9573624}	{-72.847115,71.906654,1.89}
2026-03-03 06:12:19.542+00	{0,0,0.34897283,-0.93713284}	{-72.89639,72.203255,1.89}
2026-03-03 06:12:20.373+00	{0,0,0.4020109,-0.9156349}	{-72.87328,72.508224,1.89}
2026-03-03 06:12:22.791+00	{0,0,0.40070096,-0.91620886}	{-73.13849,72.269745,1.89}
2026-03-03 06:12:23.079+00	{0,0,0.3996675,-0.9166602}	{-73.37143,72.032364,1.89}
2026-03-03 06:12:23.471+00	{0,0,0.4033167,-0.91506046}	{-73.67788,71.74119,1.89}
2026-03-03 06:12:23.745+00	{0,0,0.40379182,-0.9148509}	{-73.911934,71.551544,1.89}
2026-03-03 06:12:24.066+00	{0,0,0.40156984,-0.9158284}	{-74.136284,71.3347,1.89}
2026-03-03 06:12:25.641+00	{0,0,0.46773985,-0.8838662}	{-74.36823,71.879456,1.89}
2026-03-03 06:12:25.944+00	{0,0,0.51886266,-0.85485756}	{-74.06216,71.90988,1.89}
2026-03-03 06:12:26.479+00	{0,0,0.5666594,-0.82395214}	{-73.896034,72.19421,1.89}
2026-03-03 06:12:27.302+00	{0,0,0.59123576,-0.8064987}	{-73.63083,72.40364,1.89}
2026-03-03 06:12:27.829+00	{0,0,0.59959024,-0.80030715}	{-73.342255,72.53524,1.89}
2026-03-03 06:12:28.459+00	{0,0,0.60579777,-0.7956186}	{-73.05802,72.64523,1.89}
2026-03-03 06:12:29.676+00	{0,0,0.59456414,-0.8040481}	{-73.33923,72.516014,1.89}
2026-03-03 06:12:30.076+00	{0,0,0.58637697,-0.81003827}	{-73.62756,72.39663,1.89}
2026-03-03 06:12:30.42+00	{0,0,0.5786519,-0.8155746}	{-73.92569,72.25533,1.89}
2026-03-03 06:12:30.731+00	{0,0,0.5710575,-0.82091}	{-74.2289,72.13207,1.89}
2026-03-03 06:12:31.132+00	{0,0,0.57038295,-0.8213788}	{-74.55684,72.00836,1.89}
2026-03-03 06:12:31.395+00	{0,0,0.57207173,-0.8202036}	{-74.88942,71.904045,1.89}
2026-03-03 06:12:31.809+00	{0,0,0.5681883,-0.8228985}	{-75.26256,71.75059,1.89}
2026-03-03 06:12:32.332+00	{0,0,0.5477741,-0.8366263}	{-75.50626,71.55542,1.89}
2026-03-03 06:12:33.313+00	{0,0,0.61352134,-0.7896781}	{-75.370346,71.91589,1.89}
2026-03-03 06:12:33.538+00	{0,0,0.668966,-0.7432929}	{-75.326744,72.252495,1.89}
2026-03-03 06:12:33.778+00	{0,0,0.688751,-0.724998}	{-75.4627,72.73494,1.89}
2026-03-03 06:12:34.402+00	{0,0,0.7311499,-0.6822168}	{-75.15086,72.66512,1.89}
2026-03-03 06:12:35.074+00	{0,0,0.7229937,-0.69085467}	{-74.840515,72.63818,1.89}
2026-03-03 06:12:35.345+00	{0,0,0.7067202,-0.7074931}	{-74.52553,72.56446,1.89}
2026-03-03 06:12:35.54+00	{0,0,0.68970186,-0.7240935}	{-74.24471,72.39585,1.89}
2026-03-03 06:12:36.058+00	{0,0,0.6543593,-0.75618374}	{-73.99458,72.2172,1.89}
2026-03-03 06:12:37.33+00	{0,0,0.6387185,-0.7694405}	{-73.66729,72.188576,1.89}
2026-03-03 06:12:37.844+00	{0,0,0.63841647,-0.76969105}	{-73.36729,72.23981,1.89}
2026-03-03 06:12:38.322+00	{0,0,0.6382024,-0.76986855}	{-73.04723,72.28249,1.89}
2026-03-03 06:12:39.628+00	{0,0,0.637047,-0.7708249}	{-72.752556,72.33944,1.89}
2026-03-03 06:12:40.702+00	{0,0,0.63987404,-0.76847976}	{-73.10028,72.30918,1.89}
2026-03-03 06:12:41.011+00	{0,0,0.6433784,-0.7655483}	{-73.46835,72.247955,1.89}
2026-03-03 06:12:41.284+00	{0,0,0.64641434,-0.76298654}	{-73.83507,72.20538,1.89}
2026-03-03 06:12:41.484+00	{0,0,0.6486379,-0.7610971}	{-74.15897,72.17761,1.89}
2026-03-03 06:12:41.802+00	{0,0,0.64844143,-0.7612645}	{-74.60979,72.10431,1.89}
2026-03-03 06:12:42.028+00	{0,0,0.64403677,-0.7649945}	{-75.04982,72.00199,1.89}
2026-03-03 06:12:42.191+00	{0,0,0.64035684,-0.7680775}	{-75.39288,71.92858,1.89}
2026-03-03 06:12:42.397+00	{0,0,0.6365564,-0.7712301}	{-75.702156,71.86681,1.89}
2026-03-03 06:12:42.631+00	{0,0,0.6328927,-0.7742395}	{-76.016304,71.79947,1.89}
2026-03-03 06:12:42.821+00	{0,0,0.6293055,-0.77715796}	{-76.37948,71.688385,1.89}
2026-03-03 06:12:43.055+00	{0,0,0.62410367,-0.7813415}	{-76.73895,71.60334,1.89}
2026-03-03 06:12:43.302+00	{0,0,0.62111944,-0.78371584}	{-77.0569,71.49675,1.89}
2026-03-03 06:12:43.498+00	{0,0,0.6177214,-0.786397}	{-77.38371,71.387794,1.89}
2026-03-03 06:12:43.727+00	{0,0,0.6114855,-0.7912556}	{-77.831985,71.37036,1.89}
2026-03-03 06:12:43.917+00	{0,0,0.6074391,-0.7943662}	{-78.17726,71.23955,1.89}
2026-03-03 06:12:44.128+00	{0,0,0.6025451,-0.7980848}	{-78.47062,71.160034,1.89}
2026-03-03 06:12:44.342+00	{0,0,0.5973159,-0.802006}	{-78.849335,70.95663,1.89}
2026-03-03 06:12:44.584+00	{0,0,0.58982646,-0.80753}	{-79.16022,70.83871,1.89}
2026-03-03 06:12:44.869+00	{0,0,0.5802115,-0.81446576}	{-79.7058,70.60919,1.89}
2026-03-03 06:12:45.147+00	{0,0,0.5683004,-0.8228211}	{-80.05423,70.40406,1.89}
2026-03-03 06:12:45.344+00	{0,0,0.55834824,-0.82960665}	{-80.389366,70.134514,1.89}
2026-03-03 06:12:45.526+00	{0,0,0.54422563,-0.83893883}	{-80.72964,69.94345,1.89}
2026-03-03 06:12:45.81+00	{0,0,0.5236363,-0.8519419}	{-81.01106,69.799,1.89}
2026-03-03 06:12:45.964+00	{0,0,0.5094975,-0.8604721}	{-81.245514,69.60491,1.89}
2026-03-03 06:12:46.201+00	{0,0,0.4789332,-0.87785137}	{-81.61455,69.245316,1.89}
2026-03-03 06:12:46.402+00	{0,0,0.45055115,-0.8927506}	{-81.84441,68.89737,1.89}
2026-03-03 06:12:46.659+00	{0,0,0.40410522,-0.9147125}	{-82.0741,68.602196,1.89}
2026-03-03 06:12:47.03+00	{0,0,0.3831882,-0.9236703}	{-82.25587,68.14763,1.89}
2026-03-03 06:12:47.233+00	{0,0,0.3760689,-0.9265917}	{-82.34657,67.831215,1.89}
2026-03-03 06:12:47.452+00	{0,0,0.32075393,-0.94716257}	{-82.45225,67.37279,1.89}
2026-03-03 06:12:47.805+00	{0,0,0.29552066,-0.95533633}	{-82.60507,66.8053,1.89}
2026-03-03 06:12:47.864+00	{0,0,0.3000629,-0.9539194}	{-84.02547,66.59734,1.89}
2026-03-03 06:12:47.939+00	{0,0,0.2788555,-0.96033305}	{-84.64057,62.00281,1.89}
2026-03-03 06:12:48.086+00	{0,0,0.26816913,-0.9633718}	{-82.74166,66.14755,1.89}
2026-03-03 06:12:48.307+00	{0,0,0.22806904,-0.973645}	{-82.80195,65.74094,1.89}
2026-03-03 06:12:48.746+00	{0,0,0.20637357,-0.97847325}	{-82.8272,65.30028,1.89}
2026-03-03 06:12:49.051+00	{0,0,0.15511936,-0.9878957}	{-82.771126,64.640526,1.89}
2026-03-03 06:12:49.087+00	{0,0,0.1391511,-0.99027115}	{-82.65173,64.28499,1.89}
2026-03-03 06:12:51.126+00	{0,0,0.032951858,-0.99945694}	{-82.4965,64.55392,1.89}
2026-03-03 06:12:51.46+00	{0,0,0.008890154,0.9999605}	{-82.34413,64.793144,1.89}
2026-03-03 06:12:51.659+00	{0,0,0.063822255,0.9979613}	{-82.143135,65.026184,1.89}
2026-03-03 06:12:51.794+00	{0,0,0.10468224,0.9945057}	{-82.01888,65.35726,1.89}
2026-03-03 06:12:51.943+00	{0,0,0.3532004,0.9355477}	{-74.64221,91.25967,1.89}
